🕘️公告,#genre#
更新日期,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
2025/6/25,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
野草口令5EE0,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
永久维护,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
❤️觉得好用,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
❤️请打赏观看,https://i.uik.cc/view.php/f8576ff37fa8b87696b6a0db283fd201.mp4
点歌台,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
淘电影,http://ydl.yueyaoxian.top:8686/rtp/239.3.1.250:8001
九屏直播,http://110.255.26.128:8088/rtp/239.253.92.203:6150$河北联通
❤️北京卫视4K,http://106.53.99.30/tv/api.php?id=bjws4k
❤️深圳卫视4K,http://go.bkpcp.top/mg/szws 
❤️广东卫视4K,http://106.53.99.30/tv/api.php?id=gdws
❤️广东综艺4K,http://117.141.162.238:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
❤️河南卫视4K,http://171.8.169.253:8800/rtp/239.16.20.199:11990$河南郑州电信
❤️苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
CHC动作电影,http://223.82.161.157:899/hls/54/index.m3u8
CHC家庭影院,http://223.82.161.157:899/hls/53/index.m3u8
CHC影迷电影,http://223.82.161.157:899/hls/51/index.m3u8
CHC动作电影,http://58.19.180.108:9981/stream/channelid/1782708396?profile=pass
CHC影迷电影,http://58.19.180.108:9981/stream/channelid/473633391?profile=pass
CHC家庭影院,http://58.19.180.108:9981/stream/channelid/2141017443?profile=pass

☘️个人常看,#genre#
CCTV3-综艺,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391 
CCTV13-新闻,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000514 
湖南卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000174
江苏卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000177 
东方卫视,rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000198 
北京卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000173
浙江卫视,rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000195 
